"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"1421 Orust","inom 400 meter från hållplats","samtliga bostäder",3302,3310,3317,3334,3397,3435,3478,3440
"1427 Sotenäs","inom 400 meter från hållplats","samtliga bostäder",2823,2828,2884,2986,3107,3159,3086,3036
"1430 Munkedal","inom 400 meter från hållplats","samtliga bostäder",2578,2613,2622,2626,2455,2503,2510,2528
"1435 Tanum","inom 400 meter från hållplats","samtliga bostäder",1855,1870,1919,1916,2426,2202,2196,2265
"1438 Dals-Ed","inom 400 meter från hållplats","samtliga bostäder",1026,1032,1205,1303,1337,1722,1331,1326
"1439 Färgelanda","inom 400 meter från hållplats","samtliga bostäder",1534,1534,1534,1535,1538,1527,1529,1524
"1440 Ale","inom 400 meter från hållplats","samtliga bostäder",7802,7909,8015,8328,8438,9384,9455,9612
"1441 Lerum","inom 400 meter från hållplats","samtliga bostäder",10690,10736,11179,11547,11888,12139,12176,12203
"1442 Vårgårda","inom 400 meter från hållplats","samtliga bostäder",2239,2291,2349,2479,2506,2522,2531,2565
"1443 Bollebygd","inom 400 meter från hållplats","samtliga bostäder",1444,1514,1572,1632,1634,1644,1647,1675
"1444 Grästorp","inom 400 meter från hållplats","samtliga bostäder",856,980,981,987,1126,1127,1190,658
"1445 Essunga","inom 400 meter från hållplats","samtliga bostäder",861,774,861,967,1132,1200,1224,1228
"1446 Karlsborg","inom 400 meter från hållplats","samtliga bostäder",2325,2341,2396,2405,2451,2468,2459,2480
"1447 Gullspång","inom 400 meter från hållplats","samtliga bostäder",1315,1317,1317,1393,1820,1829,1821,1859
"1452 Tranemo","inom 400 meter från hållplats","samtliga bostäder",2106,2113,2127,2120,2929,2959,2421,3041
"1460 Bengtsfors","inom 400 meter från hållplats","samtliga bostäder",1802,1803,1881,1900,2734,2749,2718,2697
"1461 Mellerud","inom 400 meter från hållplats","samtliga bostäder",1975,1965,1976,1956,2085,2108,2103,2106
"1462 Lilla Edet","inom 400 meter från hållplats","samtliga bostäder",3632,3589,3606,3635,3702,3709,3737,3759
