"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"0834 Torsås","totalt","totalt 16+ år","totalt",213.2,222.1,227.2,234.9,241.0,246.7,254.3,262.1
"0840 Mörbylånga","totalt","totalt 16+ år","totalt",243.2,250.8,260.5,267.4,274.7,282.4,290.3,299.4
"0860 Hultsfred","totalt","totalt 16+ år","totalt",213.3,221.7,228.7,233.0,237.5,245.1,248.6,258.1
"0861 Mönsterås","totalt","totalt 16+ år","totalt",233.5,241.6,250.5,258.2,262.3,269.7,274.4,284.2
"0862 Emmaboda","totalt","totalt 16+ år","totalt",224.4,230.0,238.0,245.3,248.4,254.5,260.1,269.0
"0880 Kalmar","totalt","totalt 16+ år","totalt",241.1,251.0,261.2,269.9,279.4,285.8,290.1,299.9
"0881 Nybro","totalt","totalt 16+ år","totalt",219.6,225.1,233.6,238.0,243.3,252.0,255.9,265.8
"0882 Oskarshamn","totalt","totalt 16+ år","totalt",255.6,264.4,276.6,283.0,288.4,289.9,292.3,303.2
"0883 Västervik","totalt","totalt 16+ år","totalt",224.4,231.5,239.4,246.6,251.9,257.5,262.9,271.0
"0884 Vimmerby","totalt","totalt 16+ år","totalt",233.1,241.0,248.7,256.2,263.0,271.3,276.4,286.0
"0885 Borgholm","totalt","totalt 16+ år","totalt",207.3,217.0,224.8,232.3,235.1,241.0,249.4,258.4
"0980 Gotland","totalt","totalt 16+ år","totalt",218.9,228.0,236.8,244.6,250.9,257.0,263.9,272.9
"1060 Olofström","totalt","totalt 16+ år","totalt",223.8,231.2,241.6,252.1,256.6,258.7,264.1,269.7
"1080 Karlskrona","totalt","totalt 16+ år","totalt",236.8,244.0,252.4,262.2,268.4,275.6,282.7,292.6
"1081 Ronneby","totalt","totalt 16+ år","totalt",223.4,228.3,236.5,243.1,245.4,250.9,258.2,266.0
"1082 Karlshamn","totalt","totalt 16+ år","totalt",228.9,235.4,245.8,254.2,261.0,265.2,271.6,280.2
"1083 Sölvesborg","totalt","totalt 16+ år","totalt",226.9,236.3,244.5,251.7,260.5,266.2,274.2,283.6
"1214 Svalöv","totalt","totalt 16+ år","totalt",229.8,238.6,248.5,254.7,263.4,270.4,280.7,287.7
"1230 Staffanstorp","totalt","totalt 16+ år","totalt",276.9,285.6,294.0,301.9,311.4,321.6,327.5,339.1
"1231 Burlöv","totalt","totalt 16+ år","totalt",223.8,229.5,240.0,246.7,253.0,258.2,266.3,276.5
"1233 Vellinge","totalt","totalt 16+ år","totalt",287.0,297.4,305.9,317.8,328.9,338.8,348.4,360.5
"1256 Östra Göinge","totalt","totalt 16+ år","totalt",218.5,223.4,230.4,234.0,238.8,244.8,248.6,258.6
"1257 Örkelljunga","totalt","totalt 16+ år","totalt",211.3,217.9,229.1,236.8,241.0,245.5,253.4,263.3
"1260 Bjuv","totalt","totalt 16+ år","totalt",223.3,230.7,239.3,244.0,249.1,255.4,261.6,271.1
"1261 Kävlinge","totalt","totalt 16+ år","totalt",272.3,281.4,290.7,299.7,308.3,315.2,323.8,335.3
"1262 Lomma","totalt","totalt 16+ år","totalt",307.3,317.4,329.2,340.4,349.0,361.0,368.9,384.0
"1263 Svedala","totalt","totalt 16+ år","totalt",272.0,280.5,288.1,298.0,305.2,315.6,321.1,334.3
"1264 Skurup","totalt","totalt 16+ år","totalt",237.2,246.3,254.7,261.0,267.7,275.4,284.7,298.0
"1265 Sjöbo","totalt","totalt 16+ år","totalt",226.8,236.6,245.0,250.9,257.5,264.9,274.5,284.6
"1266 Hörby","totalt","totalt 16+ år","totalt",224.8,234.1,241.9,248.3,253.5,264.5,273.9,283.5
"1267 Höör","totalt","totalt 16+ år","totalt",243.7,250.3,260.8,269.3,275.0,281.1,288.5,297.6
"1270 Tomelilla","totalt","totalt 16+ år","totalt",213.9,222.6,231.8,237.6,240.2,245.7,250.7,260.2
"1272 Bromölla","totalt","totalt 16+ år","totalt",227.9,236.3,244.8,252.8,258.8,265.2,269.8,278.7
"1273 Osby","totalt","totalt 16+ år","totalt",218.0,225.0,233.9,241.5,250.4,256.4,262.5,274.1
"1275 Perstorp","totalt","totalt 16+ år","totalt",204.7,206.0,216.5,223.6,226.7,230.4,231.8,242.4
"1276 Klippan","totalt","totalt 16+ år","totalt",214.4,219.9,229.2,235.2,241.4,247.6,256.4,265.5
"1277 Åstorp","totalt","totalt 16+ år","totalt",220.3,229.9,239.0,242.5,251.2,257.6,265.2,275.6
"1278 Båstad","totalt","totalt 16+ år","totalt",230.9,241.2,250.6,258.8,265.5,273.0,283.8,296.9
"1280 Malmö","totalt","totalt 16+ år","totalt",213.9,223.0,234.5,242.2,249.0,258.3,264.3,275.0
"1281 Lund","totalt","totalt 16+ år","totalt",232.3,241.8,252.2,259.2,265.3,269.5,273.0,279.3
"1282 Landskrona","totalt","totalt 16+ år","totalt",214.4,221.4,231.1,238.5,244.7,254.3,262.0,272.2
"1283 Helsingborg","totalt","totalt 16+ år","totalt",235.3,243.0,253.8,261.0,268.8,275.2,280.1,290.2
"1284 Höganäs","totalt","totalt 16+ år","totalt",250.0,258.2,266.3,274.6,280.8,285.8,294.7,305.3
"1285 Eslöv","totalt","totalt 16+ år","totalt",236.1,245.4,253.7,261.0,267.8,273.6,281.5,291.3
"1286 Ystad","totalt","totalt 16+ år","totalt",238.6,247.9,256.8,262.1,269.8,276.8,283.2,294.1
